date,datatype,station,attributes,value
2020-05-01T00:00:00,TMIN,GHCND:ARM00087582,",,S,",13.8
2020-05-01T00:00:00,TAVG,GHCND:ARM00087593,"H,,S,",15.9
2020-05-01T00:00:00,TMAX,GHCND:ARM00087593,",,S,",20.0
2020-05-01T00:00:00,TMIN,GHCND:ARM00087593,",,S,",9.5
2020-05-01T00:00:00,TAVG,GHCND:ARM00087596,"H,,S,",17.1
2020-05-01T00:00:00,TMIN,GHCND:ARM00087596,",,S,",11.5
2020-05-01T00:00:00,TAVG,GHCND:ARM00087640,"H,,S,",15.0
2020-05-01T00:00:00,TMAX,GHCND:ARM00087640,",,S,",22.0
2020-05-01T00:00:00,TMIN,GHCND:ARM00087640,",,S,",8.5
2020-05-01T00:00:00,TAVG,GHCND:ARM00087641,"H,,S,",12.7
2020-05-01T00:00:00,TMAX,GHCND:ARM00087641,",,S,",20.4
2020-05-01T00:00:00,TMIN,GHCND:ARM00087641,",,S,",8.6
2020-05-01T00:00:00,TAVG,GHCND:ARM00087643,"H,,S,",14.0
2020-05-01T00:00:00,TMAX,GHCND:ARM00087643,",,S,",20.5
2020-05-01T00:00:00,TMIN,GHCND:ARM00087643,",,S,",9.1
2020-05-01T00:00:00,PRCP,GHCND:ARM00087645,",,S,",6.1
2020-05-01T00:00:00,TAVG,GHCND:ARM00087645,"H,,S,",11.6
2020-05-01T00:00:00,TMAX,GHCND:ARM00087645,",,S,",19.2
2020-05-01T00:00:00,TMIN,GHCND:ARM00087645,",,S,",6.0
2020-05-01T00:00:00,PRCP,GHCND:ARM00087648,",,S,",8.9
2020-05-01T00:00:00,TAVG,GHCND:ARM00087648,"H,,S,",13.0
2020-05-01T00:00:00,TMAX,GHCND:ARM00087648,",,S,",19.7
2020-05-01T00:00:00,TMIN,GHCND:ARM00087648,",,S,",7.1
2020-05-01T00:00:00,PRCP,GHCND:ARM00087688,",,S,",3.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087688,"H,,S,",13.7
2020-05-01T00:00:00,TMAX,GHCND:ARM00087688,",,S,",21.3
2020-05-01T00:00:00,TMIN,GHCND:ARM00087688,",,S,",7.9
2020-05-01T00:00:00,TAVG,GHCND:ARM00087765,"H,,S,",7.9
2020-05-01T00:00:00,TMAX,GHCND:ARM00087765,",,S,",16.7
2020-05-01T00:00:00,TMIN,GHCND:ARM00087765,",,S,",2.2
2020-05-01T00:00:00,TAVG,GHCND:ARM00087774,"H,,S,",4.8
2020-05-01T00:00:00,TMAX,GHCND:ARM00087774,",,S,",15.0
2020-05-01T00:00:00,TMIN,GHCND:ARM00087774,",,S,",-5.7
2020-05-01T00:00:00,TAVG,GHCND:ARM00087784,"H,,S,",12.6
2020-05-01T00:00:00,TMAX,GHCND:ARM00087784,",,S,",19.5
2020-05-01T00:00:00,TMIN,GHCND:ARM00087784,",,S,",7.8
2020-05-01T00:00:00,TAVG,GHCND:ARM00087791,"H,,S,",14.1
2020-05-01T00:00:00,TMAX,GHCND:ARM00087791,",,S,",20.0
2020-05-01T00:00:00,TMIN,GHCND:ARM00087791,",,S,",9.2
2020-05-01T00:00:00,TAVG,GHCND:ARM00087800,"H,,S,",8.6
2020-05-01T00:00:00,TMAX,GHCND:ARM00087800,",,S,",17.5
2020-05-01T00:00:00,TMIN,GHCND:ARM00087800,",,S,",2.8
2020-05-01T00:00:00,TAVG,GHCND:ARM00087852,"H,,S,",7.2
2020-05-01T00:00:00,TMAX,GHCND:ARM00087852,",,S,",13.5
2020-05-01T00:00:00,TMIN,GHCND:ARM00087852,",,S,",-0.5
2020-05-01T00:00:00,PRCP,GHCND:ARM00087896,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087896,"H,,S,",10.6
2020-05-01T00:00:00,TMAX,GHCND:ARM00087896,",,S,",14.6
2020-05-01T00:00:00,TMIN,GHCND:ARM00087896,",,S,",6.2
2020-05-01T00:00:00,PRCP,GHCND:ARM00087904,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087904,"H,,S,",4.7
2020-05-01T00:00:00,TMAX,GHCND:ARM00087904,",,S,",13.4
2020-05-01T00:00:00,TMIN,GHCND:ARM00087904,",,S,",-0.8
2020-05-01T00:00:00,TAVG,GHCND:ARM00087909,"H,,S,",11.9
2020-05-01T00:00:00,TMIN,GHCND:ARM00087909,",,S,",4.8
2020-05-01T00:00:00,PRCP,GHCND:ARM00087934,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087934,"H,,S,",5.7
2020-05-01T00:00:00,TMAX,GHCND:ARM00087934,",,S,",11.7
2020-05-01T00:00:00,TMIN,GHCND:ARM00087934,",,S,",1.3
